Entry #,Date,Player Name,Team,Tile,Item Received,Points,Awarded Points,Image,,,Team,Total Points,,,
1899,19/02/2026,0,-,Barrows / Moons,Ahrim's Hood,1,1,,,,-,1,,,
1,20/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Karil's Leatherskirt,1,1,,20/02/2026,,Team 1 - Ba-Ba's Big Banana Boys,563,,,
2,20/02/2026,Glewts,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Dharok's Platelegs,1,1,,20/02/2026,,Team 2 - Send Noots,446,,,
3,20/02/2026,Glewts,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Robetop,1,1,,20/02/2026,,Team 3 - Toes of Amascut,576,,,
4,20/02/2026,Nebbzyyy,Team 4 - Juiced Up Jubblies,Barrows / Moons,Dual Macuahuitl,1,1,,20/02/2026,,Team 4 - Juiced Up Jubblies,470,,Total Mega Rares,7
5,20/02/2026,ElderSix,Team 4 - Juiced Up Jubblies,Barrows / Moons,Blood Moon Chestplate,1,1,,20/02/2026,,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,579,,Total Pets,38
6,20/02/2026,Nepautism,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Dragon Axe,1,1,,20/02/2026,,Team 6 - Mulch Munchers,358,,,
7,20/02/2026,OldShortBoot,Team 6 - Mulch Munchers,Slayer Bosses,Unsired,1,1,,20/02/2026,,Team 7 - #Zamn67uwu>:3xD,470,,,
8,20/02/2026,DikzakNo51,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Verac's Helm,1,1,,20/02/2026,,,,,,
9,20/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Berserker Ring,1,1,,20/02/2026,,,,,,
10,20/02/2026,Allagash,Team 2 - Send Noots,Nex,Torva Platebody,5,5,,20/02/2026,,,,,,
11,20/02/2026,Rbanzz,Team 3 - Toes of Amascut,Doom of Mokhaiotl,Eye of Ayak,5,5,,20/02/2026,,,,,,
12,20/02/2026,Daixu,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Chambers of Xeric,Arcane Prayer Scroll,1,1,,20/02/2026,,,,,,
13,20/02/2026,Cmot,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Tormented / Demonics,Burning Claw,3,3,,20/02/2026,,,,,,
14,20/02/2026,Ex M0bileuim,Team 6 - Mulch Munchers,God Wars Dungeon,Bandos Boots,2,2,,20/02/2026,,,,,,
15,20/02/2026,Ex M0bileuim,Team 6 - Mulch Munchers,God Wars Dungeon,Bandos Boots,2,2,,20/02/2026,,,,,,
16,20/02/2026,Cory catfish,Team 6 - Mulch Munchers,Slayer Misc,Sulphur Blades,2,2,,20/02/2026,,,,,,
17,20/02/2026,Ex M0bileuim,Team 6 - Mulch Munchers,Barrows / Moons,Guthan's Helm,1,1,,20/02/2026,,,,,,
18,20/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,20/02/2026,,,,,,
19,20/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,20/02/2026,,,,,,
20,20/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Zamorakian Spear,1,1,,20/02/2026,,,,,,
21,20/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,20/02/2026,,,,,,
22,20/02/2026,Nepautism,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Dragon Axe,1,1,,20/02/2026,,,,,,
23,20/02/2026,Lorna Snore,Team 1 - Ba-Ba's Big Banana Boys,Doom of Mokhaiotl,Eye of Ayak,5,5,,20/02/2026,,,,,,
24,20/02/2026,Skull FE,Team 6 - Mulch Munchers,Zulrah,Jar of Swamp,5,5,,20/02/2026,,,,,,
25,20/02/2026,Ex M0bileuim,Team 6 - Mulch Munchers,God Wars Dungeon,Bandos Boots,2,2,,2/20/2026,,,,,,
26,20/02/2026,ScumGIM,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
27,20/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Dragon Axe,1,1,,2/20/2026,,,,,,
28,20/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Dragon Axe,1,1,,2/20/2026,,,,,,
29,20/02/2026,B endi,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Chambers of Xeric,Dexterous Prayer Scroll,1,1,,2/20/2026,,,,,,
30,20/02/2026,smot smot,Team 7 - #Zamn67uwu>:3xD,Barrows / Moons,Eclipse Atlatl,1,1,,2/20/2026,,,,,,
31,20/02/2026,Nepautism,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Warrior's Ring,1,1,,2/20/2026,,,,,,
32,20/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
33,20/02/2026,Exfoliate,Team 1 - Ba-Ba's Big Banana Boys,Slayer Bosses,Eternal Crystal,3,3,,2/20/2026,,,,,,
34,20/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Seer's Ring,1,1,,2/20/2026,,,,,,
35,20/02/2026,Gimpy Jon,Team 2 - Send Noots,Shards,Crystal Weapon Seed,2,2,,2/20/2026,,,,,,
36,20/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
37,20/02/2026,Camigos,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Bosses,Primordial Crystal,3,3,,2/20/2026,,,,,,
38,20/02/2026,Shad IM,Team 6 - Mulch Munchers,Shards,Crystal Weapon Seed,2,2,,2/20/2026,,,,,,
39,20/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
40,20/02/2026,ScumGIM,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
42,20/02/2026,Iron vilcan,Team 2 - Send Noots,Nex,Torva Platelegs,5,5,,2/20/2026,,,,,,
43,20/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Sunfire Fanatic Chausses,2,2,,2/20/2026,,,,,,
44,20/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
45,20/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Saradomin Sword,1,1,,2/20/2026,,,,,,
46,20/02/2026,I Be Useless,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
47,20/02/2026,Rileystoned,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
48,20/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Mud Battlestaff,1,1,,2/20/2026,,,,,,
49,20/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
50,20/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
51,20/02/2026,Iron speesh,Team 3 - Toes of Amascut,Nex,Torva Platelegs,5,5,,2/20/2026,,,,,,
52,20/02/2026,Jamine2,Team 3 - Toes of Amascut,Nex,Torva Platelegs,5,5,,2/20/2026,,,,,,
