Entry #,Date,Player Name,Team,Tile,Item Received
1,11/09/2026 19:43,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Tombs of Amascut,Masori Body
2,11/09/2026 19:44,Stanjuuh,Team 4 - Team Lizard,Tombs of Amascut,Masori Chaps
3,11/09/2026 19:45,B0NX,Team 5 - The Rextards,Tombs of Amascut,Masori Body
4,11/09/2026 21:54,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Tombs of Amascut,Masori Mask
5,11/09/2026 22:47,Vilcann,Team 2 - The Bapstreet Boys,Tombs of Amascut,Osmumten's Fang
6,11/09/2026 23:23,Nuck Formies,Team 5 - The Rextards,Nex,Torva Platebody
7,11/09/2026 23:25,PAX E23,Team 5 - The Rextards,Tombs of Amascut,Osmumten's Fang
8,11/09/2026 23:46,Iron Adiowa,Team 3 - Gnome Ball Ballers Kittens uwu,Tombs of Amascut,Masori Body
9,11/09/2026 23:47,TonkatsuSolo,Team 2 - The Bapstreet Boys,Tombs of Amascut,Masori Mask
10,11/09/2026 23:48,B0NX,Team 5 - The Rextards,Nex,Ancient Hilt
11,11/09/2026 23:57,AkseleratorX,Team 1 - Fiddlestcks Flight Attendants,Nex,Ancient Hilt
12,12/09/2026 00:06,BarlowBVB,Team 4 - Team Lizard,Tombs of Amascut,Osmumten's Fang
13,12/09/2026 00:07,Nuck Formies,Team 5 - The Rextards,Hueycoatl,Hueycoatl Hide
14,12/09/2026 00:52,GIM NH3,Team 5 - The Rextards,Hueycoatl,Tome of Earth
15,12/09/2026 00:55,Vilcann,Team 2 - The Bapstreet Boys,Nex,Ancient Hilt
16,12/09/2026 01:03,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Nex,Torva Platelegs
17,12/09/2026 01:11,Died at Zuk,Team 5 - The Rextards,Dagannoth Kings,Mud Battlestaff
18,12/09/2026 01:20,Nuck Formies,Team 5 - The Rextards,Cerberus,Pegasian Crystal
19,12/09/2026 03:14,Avusten,Team 5 - The Rextards,Dagannoth Kings,Warrior Ring
20,12/09/2026 03:14,EdmondBanks,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
21,12/09/2026 03:15,Avusten,Team 5 - The Rextards,Dagannoth Kings,Dragon Axe
22,12/09/2026 03:15,GIM NH3,Team 5 - The Rextards,Dagannoth Kings,Archers Ring
23,12/09/2026 03:16,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Hueycoatl,Hueycoatl Hide
24,12/09/2026 03:16,GIMyNewtron,Team 1 - Fiddlestcks Flight Attendants,Hueycoatl,Hueycoatl Hide
25,12/09/2026 03:17,So Far To Go,Team 2 - The Bapstreet Boys,Nex,Torva Platelegs
26,12/09/2026 03:18,TonkatsuSolo,Team 2 - The Bapstreet Boys,Hueycoatl,Dragon Hunter Wand
27,12/09/2026 03:18,Drivef0rsh0w,Team 2 - The Bapstreet Boys,Hueycoatl,Hueycoatl Hide
28,12/09/2026 03:19,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Tombs of Amascut,Osmumten's Fang
29,12/09/2026 04:00,GIMyNewtron,Team 1 - Fiddlestcks Flight Attendants,Hueycoatl,Hueycoatl Hide
30,12/09/2026 04:01,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Karil's Crossbow
31,12/09/2026 04:02,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Nex,Ancient Hilt
32,12/09/2026 04:03,Died at Zuk,Team 5 - The Rextards,Dagannoth Kings,Berserker Ring
33,12/09/2026 04:05,Avusten,Team 5 - The Rextards,Dagannoth Kings,Seercull
34,12/09/2026 04:05,Cooler Suede,Team 5 - The Rextards,Revenants,Ancient Emblem
35,12/09/2026 04:11,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Fortis Colosseum,Sunfire Fanatic Cuirass
36,12/09/2026 04:11,B0NX,Team 5 - The Rextards,Cerberus,Primordial Crystal
37,12/09/2026 04:28,GIM NH3,Team 5 - The Rextards,God Wars Dungeon,Zamorak Hilt
38,12/09/2026 07:32,GIMyNewtron,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Mud Battlestaff
39,12/09/2026 07:33,corydoras,Team 2 - The Bapstreet Boys,God Wars Dungeon,Zamorakian Spear
40,12/09/2026 07:34,Vilcann,Team 2 - The Bapstreet Boys,Revenants,Ancient Totem
41,12/09/2026 07:34,Nebbzyyy,Team 2 - The Bapstreet Boys,Fortis Colosseum,Echo Crystal
42,12/09/2026 07:36,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Nex,Torva Platebody
43,12/09/2026 07:37,Pvt Merf,Team 3 - Gnome Ball Ballers Kittens uwu,Hueycoatl,Hueycoatl Hide
44,12/09/2026 07:37,Kep,Team 3 - Gnome Ball Ballers Kittens uwu,Hueycoatl,Hueycoatl Hide
45,12/09/2026 07:38,tsukitten,Team 3 - Gnome Ball Ballers Kittens uwu,Zenyte Shards,Zenyte Shard
46,12/09/2026 07:38,Iron 76ers,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Seercull
47,12/09/2026 07:39,Iron 76ers,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Dragon Axe
48,12/09/2026 07:40,GIM NH3,Team 5 - The Rextards,Cerberus,Eternal Crystal
49,12/09/2026 07:40,cbatrashgame,Team 5 - The Rextards,Barrows,Ahrim's Staff
50,12/09/2026 07:40,Nuck Formies,Team 5 - The Rextards,Mad Angel,Hallowfell
51,12/09/2026 07:41,B0NX,Team 5 - The Rextards,Mad Angel,Hallowfell
52,12/09/2026 07:41,cbatrashgame,Team 5 - The Rextards,Barrows,Torag's Hammers
53,12/09/2026 07:42,B0NX,Team 5 - The Rextards,Mad Angel,Hallowfell
54,12/09/2026 07:42,cbatrashgame,Team 5 - The Rextards,Barrows,Guthan's Platebody
55,12/09/2026 08:58,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Revenants,Ancient Medallion
56,12/09/2026 10:00,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Saradomin Sword
57,12/09/2026 10:00,IM Nubetoob,Team 2 - The Bapstreet Boys,God Wars Dungeon,Armadyl Hilt
58,12/09/2026 10:01,Sa lad,Team 2 - The Bapstreet Boys,Fortis Colosseum,Echo Crystal
59,12/09/2026 10:02,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Mad Angel,Hallowfell
60,12/09/2026 10:03,Star IM,Team 5 - The Rextards,Barrows,Verac's Brassard
61,12/09/2026 10:03,Star IM,Team 5 - The Rextards,Barrows,Ahrim's Robetop
62,12/09/2026 10:04,Star IM,Team 5 - The Rextards,Barrows,Torag's Platelegs
63,12/09/2026 12:26,ZebraBTW,Team 5 - The Rextards,Royal Titans,Fire Element Staff Crown
64,12/09/2026 12:27,BarlowBVB,Team 4 - Team Lizard,Nex,Torva Platebody
65,12/09/2026 12:27,Tashikan,Team 3 - Gnome Ball Ballers Kittens uwu,Mad Angel,Hallowfell
66,12/09/2026 12:28,Tashikan,Team 3 - Gnome Ball Ballers Kittens uwu,Mad Angel,Hallowfell
67,12/09/2026 12:29,Iron Boi Ed,Team 2 - The Bapstreet Boys,God Wars Dungeon,Bandos Tassets
68,12/09/2026 12:29,Sa lad,Team 2 - The Bapstreet Boys,Fortis Colosseum,Echo Crystal
69,12/09/2026 12:30,Sa lad,Team 2 - The Bapstreet Boys,Fortis Colosseum,Sunfire Fanatic Helm
70,12/09/2026 12:31,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Dragon Axe
71,12/09/2026 12:32,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Seercull
72,12/09/2026 12:33,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Bandos Hilt
73,12/09/2026 12:33,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Archers Ring
74,12/09/2026 12:34,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Berserker Ring
75,12/09/2026 12:34,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Seers Ring
76,12/09/2026 12:35,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Torag's Hammers
77,12/09/2026 12:35,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Verac's Plateskirt
78,12/09/2026 12:36,Sa lad,Team 2 - The Bapstreet Boys,Fortis Colosseum,Echo Crystal
79,12/09/2026 13:59,AkseleratorX,Team 1 - Fiddlestcks Flight Attendants,Revenants,Ancient Relic
80,12/09/2026 14:00,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Dagannoth Kings,Warrior Ring
81,12/09/2026 14:00,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Godsword Shard 3
82,12/09/2026 14:01,Notarnr,Team 1 - Fiddlestcks Flight Attendants,Revenants,Ancient Effigy
83,12/09/2026 14:02,Vilcann,Team 2 - The Bapstreet Boys,Revenants,Viggora's Chainmace
84,12/09/2026 14:02,Glewts,Team 3 - Gnome Ball Ballers Kittens uwu,Cerberus,Eternal Crystal
85,12/09/2026 14:03,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Cerberus,Smouldering Stone
86,12/09/2026 14:05,Star IM,Team 5 - The Rextards,Barrows,Torag's Platelegs
87,12/09/2026 14:06,K 4 D E,Team 5 - The Rextards,God Wars Dungeon,Godsword Shard 2
88,12/09/2026 14:06,K 4 D E,Team 5 - The Rextards,God Wars Dungeon,Armadyl Hilt
89,12/09/2026 14:08,purkkitahnaa,Team 5 - The Rextards,God Wars Dungeon,Godsword Shard 1
90,12/09/2026 14:17,Autism 2,Team 5 - The Rextards,Dagannoth Kings,Seers Ring
91,12/09/2026 14:18,Xaniix,Team 4 - Team Lizard,Nex,Ancient Hilt
92,12/09/2026 14:20,Cooler Suede,Team 5 - The Rextards,Muspah,Venator Shard
93,12/09/2026 14:21,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Mad Angel,Jar of Light
94,12/09/2026 14:32,Jamine2,Team 4 - Team Lizard,Hueycoatl,Tome of Earth
95,12/09/2026 14:36,Jamine2,Team 4 - Team Lizard,Hueycoatl,Hueycoatl Hide
96,12/09/2026 14:57,Xaniix,Team 4 - Team Lizard,Dagannoth Kings,Archers Ring
97,12/09/2026 15:28,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Barrows,Dharok's Platelegs
98,12/09/2026 15:29,Cartoon19F3,Team 5 - The Rextards,Barrows,Guthan's Helm
99,12/09/2026 15:29,Xaniix,Team 4 - Team Lizard,Dagannoth Kings,Seercull
100,12/09/2026 15:38,grp ryanman,Team 4 - Team Lizard,Dagannoth Kings,Dragon Axe
101,12/09/2026 15:39,GIM Wewi,Team 1 - Fiddlestcks Flight Attendants,Fortis Colosseum,Echo Crystal
102,12/09/2026 14:08,grp ryanman,Team 4 - Team Lizard,Dagannoth Kings,Warrior Ring
103,12/09/2026 14:08,Xaniix,Team 4 - Team Lizard,Dagannoth Kings,Seers Ring
104,12/09/2026 14:17,Maself,Team 2 - The Bapstreet Boys,God Wars Dungeon,Saradomin Sword
