Entry #,Date,Player Name,Team,Tile,Item Received
1,29/08/2026 00:00,50 TRAITS,FIDDLSTCKS,Gauntlet,Enhanced Crystal Weapon Seed
2,29/08/2026 01:00,ERTHWERM GIM,FIDDLSTCKS,Tombs of Amascut,Lightbearer
3,29/08/2026 02:00,PHZYQO,FIDDLSTCKS,Tombs of Amascut,Masori Body
4,29/08/2026 03:00,GIMYNEWTRON,FIDDLSTCKS,Nex,Nihil Horn
5,29/08/2026 04:00,MELDYNOR,FIDDLSTCKS,Nex,Torva Platebody
6,29/08/2026 05:00,UPDONG,FIDDLSTCKS,Hueycoatl,Dragon Hunter Wand
7,29/08/2026 06:00,50 TRAITS,FIDDLSTCKS,Hueycoatl,Tome of Earth
8,29/08/2026 07:00,ERTHWERM GIM,FIDDLSTCKS,God Wars Dungeon,Godsword Shard 1
9,29/08/2026 08:00,PHZYQO,FIDDLSTCKS,God Wars Dungeon,Godsword Shard 2
10,29/08/2026 09:00,GIMYNEWTRON,FIDDLSTCKS,God Wars Dungeon,Godsword Shard 3
11,29/08/2026 10:00,MELDYNOR,FIDDLSTCKS,God Wars Dungeon,Bandos Hilt
12,29/08/2026 11:00,UPDONG,FIDDLSTCKS,God Wars Dungeon,Saradomin Sword
13,29/08/2026 12:00,50 TRAITS,FIDDLSTCKS,God Wars Dungeon,Armadyl Chestplate
14,29/08/2026 13:00,ERTHWERM GIM,FIDDLSTCKS,God Wars Dungeon,Zamorakian Spear
15,29/08/2026 14:00,PHZYQO,FIDDLSTCKS,Muspah,Venator Shard
16,29/08/2026 15:00,GIMYNEWTRON,FIDDLSTCKS,Muspah,Venator Shard
17,29/08/2026 16:00,MELDYNOR,FIDDLSTCKS,Muspah,Venator Shard
18,29/08/2026 17:00,UPDONG,FIDDLSTCKS,Muspah,Venator Shard
19,29/08/2026 18:00,50 TRAITS,FIDDLSTCKS,Muspah,Venator Shard
20,29/08/2026 19:00,ERTHWERM GIM,FIDDLSTCKS,Vorkath,Skeletal Visage
21,30/08/2026 00:00,PHZYQO,FIDDLSTCKS,Dagannoth Kings,Archers Ring
22,30/08/2026 01:00,GIMYNEWTRON,FIDDLSTCKS,Dagannoth Kings,Warrior Ring
23,30/08/2026 02:00,MELDYNOR,FIDDLSTCKS,Dagannoth Kings,Seers Ring
24,30/08/2026 03:00,UPDONG,FIDDLSTCKS,Dagannoth Kings,Berserker Ring
25,30/08/2026 04:00,50 TRAITS,FIDDLSTCKS,Dagannoth Kings,Dragon Axe
26,30/08/2026 05:00,ERTHWERM GIM,FIDDLSTCKS,Dagannoth Kings,Mud Battlestaff
